Occupation,Total,Race,Percentage
Entertainment and recreation managers,40,Black/African American,NA
Entertainment and recreation managers,40,Asian,NA
Entertainment and recreation managers,40,Hispanic/Latino,NA
Lodging managers,123,Women,56
Lodging managers,123,White,74.8
Lodging managers,123,Black/African American,12.4
Lodging managers,123,Asian,10.4
Lodging managers,123,Hispanic/Latino,11.2
Medical and health services managers,711,Women,70.3
Medical and health services managers,711,White,77.6
Medical and health services managers,711,Black/African American,13.3
Medical and health services managers,711,Asian,5.6
Medical and health services managers,711,Hispanic/Latino,11.5
Natural sciences managers,16,Women,NA
Natural sciences managers,16,White,NA
Natural sciences managers,16,Black/African American,NA
Natural sciences managers,16,Asian,NA
Natural sciences managers,16,Hispanic/Latino,NA
Postmasters and mail superintendents,24,Women,NA
Postmasters and mail superintendents,24,White,NA
Postmasters and mail superintendents,24,Black/African American,NA
Postmasters and mail superintendents,24,Asian,NA
Postmasters and mail superintendents,24,Hispanic/Latino,NA
"Property, real estate, and community association managers",781,Women,48.5
"Property, real estate, and community association managers",781,White,84.7
"Property, real estate, and community association managers",781,Black/African American,8.6
"Property, real estate, and community association managers",781,Asian,3.5
"Property, real estate, and community association managers",781,Hispanic/Latino,12.9
Social and community service managers,424,Women,72.5
Social and community service managers,424,White,75.9
Social and community service managers,424,Black/African American,18.3
Social and community service managers,424,Asian,2.1
Social and community service managers,424,Hispanic/Latino,10.3
Emergency management directors,12,Women,NA
Emergency management directors,12,White,NA
Emergency management directors,12,Black/African American,NA
Emergency management directors,12,Asian,NA
Emergency management directors,12,Hispanic/Latino,NA
"Personal service managers, all other",2,Women,NA
"Personal service managers, all other",2,White,NA
"Personal service managers, all other",2,Black/African American,NA
"Personal service managers, all other",2,Asian,NA
"Personal service managers, all other",2,Hispanic/Latino,NA
"Managers, all other",4969,Women,37.5
"Managers, all other",4969,White,83.2
"Managers, all other",4969,Black/African American,8.1
"Managers, all other",4969,Asian,5.9
"Managers, all other",4969,Hispanic/Latino,10.4
Business and financial operations occupations,8578,Women,53.9
Business and financial operations occupations,8578,White,78
Business and financial operations occupations,8578,Black/African American,10.5
Business and financial operations occupations,8578,Asian,8.7
Business and financial operations occupations,8578,Hispanic/Latino,11.2
"Agents and business managers of artists, performers, and athletes",36,Women,NA
"Agents and business managers of artists, performers, and athletes",36,White,NA
"Agents and business managers of artists, performers, and athletes",36,Black/African American,NA
"Agents and business managers of artists, performers, and athletes",36,Asian,NA
"Agents and business managers of artists, performers, and athletes",36,Hispanic/Latino,NA
"Buyers and purchasing agents, farm products",10,Women,NA
"Buyers and purchasing agents, farm products",10,White,NA
"Buyers and purchasing agents, farm products",10,Black/African American,NA
"Buyers and purchasing agents, farm products",10,Asian,NA
"Buyers and purchasing agents, farm products",10,Hispanic/Latino,NA
"Wholesale and retail buyers, except farm products",178,Women,52.7
"Wholesale and retail buyers, except farm products",178,White,82.8
"Wholesale and retail buyers, except farm products",178,Black/African American,9.7
"Wholesale and retail buyers, except farm products",178,Asian,5.8
"Wholesale and retail buyers, except farm products",178,Hispanic/Latino,14.9
"Purchasing agents, except wholesale, retail, and farm products",230,Women,52
"Purchasing agents, except wholesale, retail, and farm products",230,White,81.1
"Purchasing agents, except wholesale, retail, and farm products",230,Black/African American,11.9
"Purchasing agents, except wholesale, retail, and farm products",230,Asian,3.9
"Purchasing agents, except wholesale, retail, and farm products",230,Hispanic/Latino,11.3
"Claims adjusters, appraisers, examiners, and investigators",350,Women,60.4
"Claims adjusters, appraisers, examiners, and investigators",350,White,71.6
"Claims adjusters, appraisers, examiners, and investigators",350,Black/African American,19.8
"Claims adjusters, appraisers, examiners, and investigators",350,Asian,4.5
"Claims adjusters, appraisers, examiners, and investigators",350,Hispanic/Latino,15
Compliance officers,305,Women,57.1
Compliance officers,305,White,75.4
Compliance officers,305,Black/African American,12
Compliance officers,305,Asian,7.5
Compliance officers,305,Hispanic/Latino,8.6
Cost estimators,121,Women,15
Cost estimators,121,White,93.7
Cost estimators,121,Black/African American,2.9
Cost estimators,121,Asian,2
Cost estimators,121,Hispanic/Latino,14.1
Human resources workers,832,Women,74.3
Human resources workers,832,White,76.9
Human resources workers,832,Black/African American,13
Human resources workers,832,Asian,5.8
Human resources workers,832,Hispanic/Latino,15.1
"Compensation, benefits, and job analysis specialists",74,Women,76
"Compensation, benefits, and job analysis specialists",74,White,84.6
"Compensation, benefits, and job analysis specialists",74,Black/African American,11.2
"Compensation, benefits, and job analysis specialists",74,Asian,2.2
"Compensation, benefits, and job analysis specialists",74,Hispanic/Latino,9.7
Training and development specialists,115,Women,57.1
Training and development specialists,115,White,82.1
Training and development specialists,115,Black/African American,13.2
Training and development specialists,115,Asian,2.7
Training and development specialists,115,Hispanic/Latino,14.1
Logisticians,147,Women,38.1
Logisticians,147,White,82.6
Logisticians,147,Black/African American,11.8
Logisticians,147,Asian,4.4
Logisticians,147,Hispanic/Latino,20.6
Project management specialists,715,Women,44.4
Project management specialists,715,White,77.5
Project management specialists,715,Black/African American,12.3
Project management specialists,715,Asian,7.9
Project management specialists,715,Hispanic/Latino,11.1
Management analysts,997,Women,42.7
Management analysts,997,White,77.8
Management analysts,997,Black/African American,8.4
Management analysts,997,Asian,11.9
Management analysts,997,Hispanic/Latino,9.3
"Meeting, convention, and event planners",118,Women,73.7
"Meeting, convention, and event planners",118,White,85.8
"Meeting, convention, and event planners",118,Black/African American,7.7
"Meeting, convention, and event planners",118,Asian,4.8
"Meeting, convention, and event planners",118,Hispanic/Latino,11.9
Fundraisers,99,Women,74.8
Fundraisers,99,White,85
Fundraisers,99,Black/African American,3.7
Fundraisers,99,Asian,8.4
Fundraisers,99,Hispanic/Latino,7.4
Market research analysts and marketing specialists,438,Women,58.6
Market research analysts and marketing specialists,438,White,82.8
Market research analysts and marketing specialists,438,Black/African American,6.5
Market research analysts and marketing specialists,438,Asian,8.1
Market research analysts and marketing specialists,438,Hispanic/Latino,9.1
"Business operations specialists, all other",308,Women,57.3
"Business operations specialists, all other",308,White,72.6
"Business operations specialists, all other",308,Black/African American,12.4
"Business operations specialists, all other",308,Asian,11.3
"Business operations specialists, all other",308,Hispanic/Latino,9.7
Accountants and auditors,1696,Women,59.7
Accountants and auditors,1696,White,77.3
Accountants and auditors,1696,Black/African American,9.5
Accountants and auditors,1696,Asian,11.2
Accountants and auditors,1696,Hispanic/Latino,10.2
Property appraisers and assessors,86,Women,29.7
Property appraisers and assessors,86,White,96.5
Property appraisers and assessors,86,Black/African American,2.3
Property appraisers and assessors,86,Asian,1.2
Property appraisers and assessors,86,Hispanic/Latino,6
Budget analysts,60,Women,53.2
Budget analysts,60,White,69.6
Budget analysts,60,Black/African American,13.9
Budget analysts,60,Asian,7.6
Budget analysts,60,Hispanic/Latino,14.9
Credit analysts,30,Women,NA
Credit analysts,30,White,NA
Credit analysts,30,Black/African American,NA
Credit analysts,30,Asian,NA
Credit analysts,30,Hispanic/Latino,NA
Financial and investment analysts,351,Women,41.6
Financial and investment analysts,351,White,68.5
Financial and investment analysts,351,Black/African American,7.8
Financial and investment analysts,351,Asian,21
Financial and investment analysts,351,Hispanic/Latino,10.2
Personal financial advisors,514,Women,34
Personal financial advisors,514,White,78.5
Personal financial advisors,514,Black/African American,7.9
Personal financial advisors,514,Asian,10.7
Personal financial advisors,514,Hispanic/Latino,8.2
Insurance underwriters,102,Women,58
Insurance underwriters,102,White,78.6
Insurance underwriters,102,Black/African American,9.3
Insurance underwriters,102,Asian,6.2
Insurance underwriters,102,Hispanic/Latino,11.9
Financial examiners,25,Women,NA
Financial examiners,25,White,NA
Financial examiners,25,Black/African American,NA
Financial examiners,25,Asian,NA
Financial examiners,25,Hispanic/Latino,NA
Credit counselors and loan officers,400,Women,54.4
Credit counselors and loan officers,400,White,79
Credit counselors and loan officers,400,Black/African American,13.1
Credit counselors and loan officers,400,Asian,4.7
Credit counselors and loan officers,400,Hispanic/Latino,12.4
"Tax examiners and collectors, and revenue agents",61,Women,57.9
"Tax examiners and collectors, and revenue agents",61,White,76.6
"Tax examiners and collectors, and revenue agents",61,Black/African American,14.5
"Tax examiners and collectors, and revenue agents",61,Asian,5.8
"Tax examiners and collectors, and revenue agents",61,Hispanic/Latino,15.9
Tax preparers,96,Women,67.6
Tax preparers,96,White,81.9
Tax preparers,96,Black/African American,13.9
Tax preparers,96,Asian,3.9
Tax preparers,96,Hispanic/Latino,17.4
Other financial specialists,82,Women,54.2
Other financial specialists,82,White,71
Other financial specialists,82,Black/African American,15.5
Other financial specialists,82,Asian,7.7
Other financial specialists,82,Hispanic/Latino,9
Professional and related occupations,36502,Women,57
Professional and related occupations,36502,White,76.5
Professional and related occupations,36502,Black/African American,10.5
Professional and related occupations,36502,Asian,10.1
Professional and related occupations,36502,Hispanic/Latino,10.1
Computer and mathematical occupations,5603,Women,25.2
Computer and mathematical occupations,5603,White,65.4
Computer and mathematical occupations,5603,Black/African American,9.1
Computer and mathematical occupations,5603,Asian,23
Computer and mathematical occupations,5603,Hispanic/Latino,8.4
Computer and information research scientists,42,Women,NA
Computer and information research scientists,42,White,NA
Computer and information research scientists,42,Black/African American,NA
Computer and information research scientists,42,Asian,NA
Computer and information research scientists,42,Hispanic/Latino,NA
Computer systems analysts,594,Women,35.6
Computer systems analysts,594,White,68
Computer systems analysts,594,Black/African American,9.7
Computer systems analysts,594,Asian,18.7
Computer systems analysts,594,Hispanic/Latino,8.1
Information security analysts,137,Women,11.4
Information security analysts,137,White,79.8
Information security analysts,137,Black/African American,11.9
Information security analysts,137,Asian,6.9
Information security analysts,137,Hispanic/Latino,15.8
Computer programmers,417,Women,21.1
Computer programmers,417,White,63.9
Computer programmers,417,Black/African American,6.3
Computer programmers,417,Asian,28.3
Computer programmers,417,Hispanic/Latino,6.6
Software developers,1883,Women,19.4
Software developers,1883,White,57.5
Software developers,1883,Black/African American,6.2
Software developers,1883,Asian,34.1
Software developers,1883,Hispanic/Latino,5.9
Software quality assurance analysts and testers,82,Women,25.1
Software quality assurance analysts and testers,82,White,57.6
Software quality assurance analysts and testers,82,Black/African American,12
Software quality assurance analysts and testers,82,Asian,29.6
Software quality assurance analysts and testers,82,Hispanic/Latino,9.2
Web developers,104,Women,27.8
Web developers,104,White,79.3
Web developers,104,Black/African American,3.7
Web developers,104,Asian,16.2
Web developers,104,Hispanic/Latino,5.9
Web and digital interface designers,70,Women,44.8
Web and digital interface designers,70,White,81.7
Web and digital interface designers,70,Black/African American,5.9
Web and digital interface designers,70,Asian,9.9
Web and digital interface designers,70,Hispanic/Latino,15.8
Computer support specialists,660,Women,25.9
Computer support specialists,660,White,72.2
Computer support specialists,660,Black/African American,13
Computer support specialists,660,Asian,10.7
Computer support specialists,660,Hispanic/Latino,11.6
Database administrators and architects,121,Women,28.8
Database administrators and architects,121,White,62.1
Database administrators and architects,121,Black/African American,5.9
Database administrators and architects,121,Asian,30.1
Database administrators and architects,121,Hispanic/Latino,5.6
Network and computer systems administrators,238,Women,19.8
Network and computer systems administrators,238,White,77.3
Network and computer systems administrators,238,Black/African American,9
Network and computer systems administrators,238,Asian,11.8
Network and computer systems administrators,238,Hispanic/Latino,7.8
Computer network architects,107,Women,9.3
Computer network architects,107,White,67.8
Computer network architects,107,Black/African American,14.8
Computer network architects,107,Asian,15.5
Computer network architects,107,Hispanic/Latino,16.1
"Computer occupations, all other",792,Women,28
"Computer occupations, all other",792,White,67.3
"Computer occupations, all other",792,Black/African American,13.3
"Computer occupations, all other",792,Asian,15.8
"Computer occupations, all other",792,Hispanic/Latino,11.2
Actuaries,32,Women,NA
Actuaries,32,White,NA
Actuaries,32,Black/African American,NA
Actuaries,32,Asian,NA
Actuaries,32,Hispanic/Latino,NA
Mathematicians,3,Women,NA
Mathematicians,3,White,NA
Mathematicians,3,Black/African American,NA
Mathematicians,3,Asian,NA
Mathematicians,3,Hispanic/Latino,NA
Operations research analysts,156,Women,42.9
Operations research analysts,156,White,77.5
Operations research analysts,156,Black/African American,13.6
Operations research analysts,156,Asian,8.6
Operations research analysts,156,Hispanic/Latino,9.5
Statisticians,61,Women,50.3
Statisticians,61,White,60.4
Statisticians,61,Black/African American,7.9
Statisticians,61,Asian,28
Statisticians,61,Hispanic/Latino,2
Other mathematical science occupations,103,Women,37.8
Other mathematical science occupations,103,White,63.6
Other mathematical science occupations,103,Black/African American,9.3
Other mathematical science occupations,103,Asian,25.7
Other mathematical science occupations,103,Hispanic/Latino,6.2
Architecture and engineering occupations,3169,Women,16.5
Architecture and engineering occupations,3169,White,78
Architecture and engineering occupations,3169,Black/African American,6
Architecture and engineering occupations,3169,Asian,13.6
Architecture and engineering occupations,3169,Hispanic/Latino,10.6
"Architects, except landscape and naval",190,Women,28.2
"Architects, except landscape and naval",190,White,78.8
"Architects, except landscape and naval",190,Black/African American,7.2
"Architects, except landscape and naval",190,Asian,12.5
"Architects, except landscape and naval",190,Hispanic/Latino,8.5
Landscape architects,27,Women,NA
Landscape architects,27,White,NA
Landscape architects,27,Black/African American,NA
Landscape architects,27,Asian,NA
Landscape architects,27,Hispanic/Latino,NA
"Surveyors, cartographers, and photogrammetrists",45,Women,NA
"Surveyors, cartographers, and photogrammetrists",45,White,NA
"Surveyors, cartographers, and photogrammetrists",45,Black/African American,NA
"Surveyors, cartographers, and photogrammetrists",45,Asian,NA
"Surveyors, cartographers, and photogrammetrists",45,Hispanic/Latino,NA
Aerospace engineers,129,Women,11.6
Aerospace engineers,129,White,83.3
Aerospace engineers,129,Black/African American,6.8
Aerospace engineers,129,Asian,9.1
Aerospace engineers,129,Hispanic/Latino,10.5
Agricultural engineers,7,Women,NA
Agricultural engineers,7,White,NA
Agricultural engineers,7,Black/African American,NA
Agricultural engineers,7,Asian,NA
Agricultural engineers,7,Hispanic/Latino,NA
Bioengineers and biomedical engineers,22,Women,NA
Bioengineers and biomedical engineers,22,White,NA
Bioengineers and biomedical engineers,22,Black/African American,NA
Bioengineers and biomedical engineers,22,Asian,NA
Bioengineers and biomedical engineers,22,Hispanic/Latino,NA
Chemical engineers,70,Women,19.4
Chemical engineers,70,White,81.5
Chemical engineers,70,Black/African American,1.5
Chemical engineers,70,Asian,13.9
Chemical engineers,70,Hispanic/Latino,10
Civil engineers,422,Women,16
Civil engineers,422,White,81.9
Civil engineers,422,Black/African American,3.9
Civil engineers,422,Asian,13.6
Civil engineers,422,Hispanic/Latino,12.4
Computer hardware engineers,89,Women,18.4
Computer hardware engineers,89,White,54.6
Computer hardware engineers,89,Black/African American,5.4
Computer hardware engineers,89,Asian,39.2
Computer hardware engineers,89,Hispanic/Latino,14.5
Electrical and electronics engineers,268,Women,11.8
Electrical and electronics engineers,268,White,76.1
Electrical and electronics engineers,268,Black/African American,5.4
Electrical and electronics engineers,268,Asian,17.2
Electrical and electronics engineers,268,Hispanic/Latino,8.9
Environmental engineers,33,Women,NA
Environmental engineers,33,White,NA
Environmental engineers,33,Black/African American,NA
Environmental engineers,33,Asian,NA
Environmental engineers,33,Hispanic/Latino,NA
"Industrial engineers, including health and safety",225,Women,23.4
"Industrial engineers, including health and safety",225,White,74.7
"Industrial engineers, including health and safety",225,Black/African American,5.2
"Industrial engineers, including health and safety",225,Asian,19.1
"Industrial engineers, including health and safety",225,Hispanic/Latino,5.9
Marine engineers and naval architects,16,Women,NA
Marine engineers and naval architects,16,White,NA
Marine engineers and naval architects,16,Black/African American,NA
Marine engineers and naval architects,16,Asian,NA
Marine engineers and naval architects,16,Hispanic/Latino,NA
Materials engineers,53,Women,25.5
Materials engineers,53,White,83.5
Materials engineers,53,Black/African American,5.3
Materials engineers,53,Asian,9.4
Materials engineers,53,Hispanic/Latino,7.1
Mechanical engineers,357,Women,8.7
Mechanical engineers,357,White,80.4
Mechanical engineers,357,Black/African American,5
Mechanical engineers,357,Asian,11.5
Mechanical engineers,357,Hispanic/Latino,6.7
"Mining and geological engineers, including mining safety engineers",17,Women,NA
"Mining and geological engineers, including mining safety engineers",17,White,NA
"Mining and geological engineers, including mining safety engineers",17,Black/African American,NA
"Mining and geological engineers, including mining safety engineers",17,Asian,NA
"Mining and geological engineers, including mining safety engineers",17,Hispanic/Latino,NA
Nuclear engineers,10,Women,NA
Nuclear engineers,10,White,NA
Nuclear engineers,10,Black/African American,NA
Nuclear engineers,10,Asian,NA
Nuclear engineers,10,Hispanic/Latino,NA
Petroleum engineers,15,Women,NA
Petroleum engineers,15,White,NA
Petroleum engineers,15,Black/African American,NA
Petroleum engineers,15,Asian,NA
Petroleum engineers,15,Hispanic/Latino,NA
"Engineers, all other",560,Women,15.3
"Engineers, all other",560,White,72.3
"Engineers, all other",560,Black/African American,7.5
"Engineers, all other",560,Asian,17.7
"Engineers, all other",560,Hispanic/Latino,10
Architectural and civil drafters,38,Women,NA
Architectural and civil drafters,38,White,NA
Architectural and civil drafters,38,Black/African American,NA
Architectural and civil drafters,38,Asian,NA
Architectural and civil drafters,38,Hispanic/Latino,NA
Other drafters,95,Women,18.8
Other drafters,95,White,90.4
Other drafters,95,Black/African American,1.8
Other drafters,95,Asian,6.6
Other drafters,95,Hispanic/Latino,22.9
Electrical and electronic engineering technologists and technicians,82,Women,3.2
Electrical and electronic engineering technologists and technicians,82,White,79.5
Electrical and electronic engineering technologists and technicians,82,Black/African American,8.8
Electrical and electronic engineering technologists and technicians,82,Asian,7.1
Electrical and electronic engineering technologists and technicians,82,Hispanic/Latino,15.4
"Other engineering technologists and technicians, except drafters",344,Women,19.1
"Other engineering technologists and technicians, except drafters",344,White,76.5
"Other engineering technologists and technicians, except drafters",344,Black/African American,9
"Other engineering technologists and technicians, except drafters",344,Asian,8.7
"Other engineering technologists and technicians, except drafters",344,Hispanic/Latino,16.4
Surveying and mapping technicians,56,Women,9.9
Surveying and mapping technicians,56,White,89.6
Surveying and mapping technicians,56,Black/African American,3.2
Surveying and mapping technicians,56,Asian,3
Surveying and mapping technicians,56,Hispanic/Latino,6.3
"Life, physical, and social science occupations",1627,Women,49.3
"Life, physical, and social science occupations",1627,White,75.1
"Life, physical, and social science occupations",1627,Black/African American,6.5
"Life, physical, and social science occupations",1627,Asian,14.9
"Life, physical, and social science occupations",1627,Hispanic/Latino,8.5
Agricultural and food scientists,32,Women,NA
Agricultural and food scientists,32,White,NA
Agricultural and food scientists,32,Black/African American,NA
Agricultural and food scientists,32,Asian,NA
Agricultural and food scientists,32,Hispanic/Latino,NA
Biological scientists,84,Women,46
Biological scientists,84,White,79.8
Biological scientists,84,Black/African American,5.6
Biological scientists,84,Asian,13.7
Biological scientists,84,Hispanic/Latino,10.1
Conservation scientists and foresters,19,Women,NA
Conservation scientists and foresters,19,White,NA
Conservation scientists and foresters,19,Black/African American,NA
Conservation scientists and foresters,19,Asian,NA
Conservation scientists and foresters,19,Hispanic/Latino,NA
Medical scientists,112,Women,52.4
Medical scientists,112,White,58.7
Medical scientists,112,Black/African American,3.8
Medical scientists,112,Asian,37.4
Medical scientists,112,Hispanic/Latino,4.7
"Life scientists, all other",6,Women,NA
"Life scientists, all other",6,White,NA
"Life scientists, all other",6,Black/African American,NA
"Life scientists, all other",6,Asian,NA
"Life scientists, all other",6,Hispanic/Latino,NA
Astronomers and physicists,19,Women,NA
Astronomers and physicists,19,White,NA
Astronomers and physicists,19,Black/African American,NA
Astronomers and physicists,19,Asian,NA
Astronomers and physicists,19,Hispanic/Latino,NA
Atmospheric and space scientists,10,Women,NA
Atmospheric and space scientists,10,White,NA
Atmospheric and space scientists,10,Black/African American,NA
Atmospheric and space scientists,10,Asian,NA
Atmospheric and space scientists,10,Hispanic/Latino,NA
Chemists and materials scientists,80,Women,40.4
Chemists and materials scientists,80,White,64.2
Chemists and materials scientists,80,Black/African American,10.7
Chemists and materials scientists,80,Asian,19.7
Chemists and materials scientists,80,Hispanic/Latino,2.2
"Environmental scientists and specialists, including health",46,Women,NA
"Environmental scientists and specialists, including health",46,White,NA
"Environmental scientists and specialists, including health",46,Black/African American,NA
"Environmental scientists and specialists, including health",46,Asian,NA
"Environmental scientists and specialists, including health",46,Hispanic/Latino,NA
"Geoscientists and hydrologists, except geographers",37,Women,NA
"Geoscientists and hydrologists, except geographers",37,White,NA
"Geoscientists and hydrologists, except geographers",37,Black/African American,NA
"Geoscientists and hydrologists, except geographers",37,Asian,NA
"Geoscientists and hydrologists, except geographers",37,Hispanic/Latino,NA
"Physical scientists, all other",336,Women,43.3
"Physical scientists, all other",336,White,61.3
"Physical scientists, all other",336,Black/African American,6.4
"Physical scientists, all other",336,Asian,30.1
"Physical scientists, all other",336,Hispanic/Latino,6.2
Economists,26,Women,NA
Economists,26,White,NA
Economists,26,Black/African American,NA
Economists,26,Asian,NA
Economists,26,Hispanic/Latino,NA
Survey researchers,5,Women,NA
Survey researchers,5,White,NA
Survey researchers,5,Black/African American,NA
Survey researchers,5,Asian,NA
Survey researchers,5,Hispanic/Latino,NA
Clinical and counseling psychologists,18,Women,NA
Clinical and counseling psychologists,18,White,NA
Clinical and counseling psychologists,18,Black/African American,NA
Clinical and counseling psychologists,18,Asian,NA
Clinical and counseling psychologists,18,Hispanic/Latino,NA
School psychologists,43,Women,NA
School psychologists,43,White,NA
School psychologists,43,Black/African American,NA
School psychologists,43,Asian,NA
School psychologists,43,Hispanic/Latino,NA
Other psychologists,145,Women,80.3
Other psychologists,145,White,82.7
Other psychologists,145,Black/African American,11.8
Other psychologists,145,Asian,4.1
Other psychologists,145,Hispanic/Latino,3.5
Sociologists,3,Women,NA
Sociologists,3,White,NA
Sociologists,3,Black/African American,NA
Sociologists,3,Asian,NA
Sociologists,3,Hispanic/Latino,NA
Urban and regional planners,47,Women,NA
Urban and regional planners,47,White,NA
Urban and regional planners,47,Black/African American,NA
Urban and regional planners,47,Asian,NA
Urban and regional planners,47,Hispanic/Latino,NA
Miscellaneous social scientists and related workers,50,Women,47.7
Miscellaneous social scientists and related workers,50,White,83.4
Miscellaneous social scientists and related workers,50,Black/African American,1.9
Miscellaneous social scientists and related workers,50,Asian,5.5
Miscellaneous social scientists and related workers,50,Hispanic/Latino,7.8
Agricultural and food science technicians,41,Women,NA
Agricultural and food science technicians,41,White,NA
Agricultural and food science technicians,41,Black/African American,NA
Agricultural and food science technicians,41,Asian,NA
Agricultural and food science technicians,41,Hispanic/Latino,NA
Biological technicians,24,Women,NA
