Date,Race,Gender,Participation
1989-01-01,NA,men,0.762
1989-02-01,NA,women,0.568
1989-02-01,NA,men,0.762
1989-03-01,NA,women,0.568
1989-03-01,NA,men,0.763
1989-04-01,NA,women,0.569
1989-04-01,NA,men,0.763
1989-05-01,NA,women,0.57
1989-05-01,NA,men,0.763
1989-06-01,NA,women,0.5710000000000001
1989-06-01,NA,men,0.764
1989-07-01,NA,women,0.5720000000000001
1989-07-01,NA,men,0.764
1989-08-01,NA,women,0.573
1989-08-01,NA,men,0.764
1989-09-01,NA,women,0.573
1989-09-01,NA,men,0.764
1989-10-01,NA,women,0.574
1989-10-01,NA,men,0.764
1989-11-01,NA,women,0.574
1989-11-01,NA,men,0.764
1989-12-01,NA,women,0.574
1989-12-01,NA,men,0.765
1990-01-01,NA,women,0.574
1990-01-01,NA,men,0.765
1990-02-01,NA,women,0.575
1990-02-01,NA,men,0.765
1990-03-01,NA,women,0.575
1990-03-01,NA,men,0.765
1990-04-01,NA,women,0.5760000000000001
1990-04-01,NA,men,0.765
1990-05-01,NA,women,0.5760000000000001
1990-05-01,NA,men,0.765
1990-06-01,NA,women,0.5760000000000001
1990-06-01,NA,men,0.765
1990-07-01,NA,women,0.5760000000000001
1990-07-01,NA,men,0.764
1990-08-01,NA,women,0.5760000000000001
1990-08-01,NA,men,0.764
1990-09-01,NA,women,0.5760000000000001
1990-09-01,NA,men,0.764
1990-10-01,NA,women,0.5760000000000001
1990-10-01,NA,men,0.764
1990-11-01,NA,women,0.575
1990-11-01,NA,men,0.764
1990-12-01,NA,women,0.575
1990-12-01,NA,men,0.764
1991-01-01,NA,women,0.575
1991-01-01,NA,men,0.763
1991-02-01,NA,women,0.575
1991-02-01,NA,men,0.763
1991-03-01,NA,women,0.575
1991-03-01,NA,men,0.763
1991-04-01,NA,women,0.575
1991-04-01,NA,men,0.762
1991-05-01,NA,women,0.574
1991-05-01,NA,men,0.762
1991-06-01,NA,women,0.574
1991-06-01,NA,men,0.7609999999999999
1991-07-01,NA,women,0.574
1991-07-01,NA,men,0.7609999999999999
1991-08-01,NA,women,0.574
1991-08-01,NA,men,0.76
1991-09-01,NA,women,0.574
1991-09-01,NA,men,0.76
1991-10-01,NA,women,0.574
1991-10-01,NA,men,0.759
1991-11-01,NA,women,0.574
1991-11-01,NA,men,0.759
1991-12-01,NA,women,0.574
1991-12-01,NA,men,0.758
1992-01-01,NA,women,0.574
1992-01-01,NA,men,0.758
1992-02-01,NA,women,0.575
1992-02-01,NA,men,0.758
1992-03-01,NA,women,0.575
1992-03-01,NA,men,0.757
1992-04-01,NA,women,0.575
1992-04-01,NA,men,0.757
1992-05-01,NA,women,0.5760000000000001
1992-05-01,NA,men,0.758
1992-06-01,NA,women,0.5760000000000001
1992-06-01,NA,men,0.758
1992-07-01,NA,women,0.5770000000000001
1992-07-01,NA,men,0.758
1992-08-01,NA,women,0.578
1992-08-01,NA,men,0.758
1992-09-01,NA,women,0.578
1992-09-01,NA,men,0.758
1992-10-01,NA,women,0.578
1992-10-01,NA,men,0.759
1992-11-01,NA,women,0.578
1992-11-01,NA,men,0.758
1992-12-01,NA,women,0.579
1992-12-01,NA,men,0.759
1993-01-01,NA,women,0.579
1993-01-01,NA,men,0.758
1993-02-01,NA,women,0.579
1993-02-01,NA,men,0.758
1993-03-01,NA,women,0.579
1993-03-01,NA,men,0.758
1993-04-01,NA,women,0.578
1993-04-01,NA,men,0.758
1993-05-01,NA,women,0.578
1993-05-01,NA,men,0.757
1993-06-01,NA,women,0.578
1993-06-01,NA,men,0.757
1993-07-01,NA,women,0.578
1993-07-01,NA,men,0.7559999999999999
1993-08-01,NA,women,0.578
1993-08-01,NA,men,0.7559999999999999
1993-09-01,NA,women,0.578
1993-09-01,NA,men,0.755
1993-10-01,NA,women,0.579
1993-10-01,NA,men,0.755
1993-11-01,NA,women,0.579
1993-11-01,NA,men,0.755
1993-12-01,NA,women,0.58
1993-12-01,NA,men,0.755
1994-01-01,NA,women,0.58
1994-01-01,NA,men,0.754
1994-02-01,NA,women,0.581
1994-02-01,NA,men,0.754
1994-03-01,NA,women,0.5820000000000001
1994-03-01,NA,men,0.754
1994-04-01,NA,women,0.583
1994-04-01,NA,men,0.753
1994-05-01,NA,women,0.584
1994-05-01,NA,men,0.753
1994-06-01,NA,women,0.584
1994-06-01,NA,men,0.752
1994-07-01,NA,women,0.585
1994-07-01,NA,men,0.7509999999999999
1994-08-01,NA,women,0.586
1994-08-01,NA,men,0.7509999999999999
1994-09-01,NA,women,0.5870000000000001
1994-09-01,NA,men,0.7509999999999999
1994-10-01,NA,women,0.588
1994-10-01,NA,men,0.7509999999999999
1994-11-01,NA,women,0.588
1994-11-01,NA,men,0.7509999999999999
1994-12-01,NA,women,0.589
1994-12-01,NA,men,0.7509999999999999
1995-01-01,NA,women,0.589
1995-01-01,NA,men,0.7509999999999999
1995-02-01,NA,women,0.589
1995-02-01,NA,men,0.7509999999999999
1995-03-01,NA,women,0.589
1995-03-01,NA,men,0.752
1995-04-01,NA,women,0.59
1995-04-01,NA,men,0.752
1995-05-01,NA,women,0.59
1995-05-01,NA,men,0.752
1995-06-01,NA,women,0.59
1995-06-01,NA,men,0.753
1995-07-01,NA,women,0.59
1995-07-01,NA,men,0.753
1995-08-01,NA,women,0.59
1995-08-01,NA,men,0.752
1995-09-01,NA,women,0.59
1995-09-01,NA,men,0.752
1995-10-01,NA,women,0.59
1995-10-01,NA,men,0.752
1995-11-01,NA,women,0.59
1995-11-01,NA,men,0.7509999999999999
1995-12-01,NA,women,0.59
1995-12-01,NA,men,0.7509999999999999
1996-01-01,NA,women,0.591
1996-01-01,NA,men,0.75
1996-02-01,NA,women,0.591
1996-02-01,NA,men,0.75
1996-03-01,NA,women,0.591
1996-03-01,NA,men,0.7490000000000001
1996-04-01,NA,women,0.591
1996-04-01,NA,men,0.7490000000000001
1996-05-01,NA,women,0.591
1996-05-01,NA,men,0.7490000000000001
1996-06-01,NA,women,0.591
1996-06-01,NA,men,0.7490000000000001
1996-07-01,NA,women,0.591
1996-07-01,NA,men,0.75
1996-08-01,NA,women,0.591
1996-08-01,NA,men,0.75
1996-09-01,NA,women,0.5920000000000001
1996-09-01,NA,men,0.75
1996-10-01,NA,women,0.5920000000000001
1996-10-01,NA,men,0.75
1996-11-01,NA,women,0.593
1996-11-01,NA,men,0.75
1996-12-01,NA,women,0.593
1996-12-01,NA,men,0.75
1997-01-01,NA,women,0.594
1997-01-01,NA,men,0.7509999999999999
1997-02-01,NA,women,0.595
1997-02-01,NA,men,0.7509999999999999
1997-03-01,NA,women,0.596
1997-03-01,NA,men,0.7509999999999999
1997-04-01,NA,women,0.596
1997-04-01,NA,men,0.7509999999999999
1997-05-01,NA,women,0.597
1997-05-01,NA,men,0.7509999999999999
1997-06-01,NA,women,0.597
1997-06-01,NA,men,0.7509999999999999
1997-07-01,NA,women,0.597
1997-07-01,NA,men,0.7509999999999999
1997-08-01,NA,women,0.598
1997-08-01,NA,men,0.7509999999999999
1997-09-01,NA,women,0.598
1997-09-01,NA,men,0.7509999999999999
1997-10-01,NA,women,0.599
1997-10-01,NA,men,0.75
1997-11-01,NA,women,0.599
1997-11-01,NA,men,0.7509999999999999
1997-12-01,NA,women,0.599
1997-12-01,NA,men,0.7509999999999999
1998-01-01,NA,women,0.599
1998-01-01,NA,men,0.7509999999999999
1998-02-01,NA,women,0.599
1998-02-01,NA,men,0.7509999999999999
1998-03-01,NA,women,0.6
1998-03-01,NA,men,0.75
1998-04-01,NA,women,0.6
1998-04-01,NA,men,0.75
1998-05-01,NA,women,0.599
1998-05-01,NA,men,0.75
1998-06-01,NA,women,0.599
1998-06-01,NA,men,0.75
1998-07-01,NA,women,0.599
1998-07-01,NA,men,0.75
1998-08-01,NA,women,0.599
1998-08-01,NA,men,0.7490000000000001
1998-09-01,NA,women,0.599
1998-09-01,NA,men,0.7490000000000001
1998-10-01,NA,women,0.599
1998-10-01,NA,men,0.7490000000000001
1998-11-01,NA,women,0.599
1998-11-01,NA,men,0.7490000000000001
1998-12-01,NA,women,0.598
1998-12-01,NA,men,0.7490000000000001
1999-01-01,NA,women,0.599
1999-01-01,NA,men,0.7490000000000001
1999-02-01,NA,women,0.599
1999-02-01,NA,men,0.7490000000000001
1999-03-01,NA,women,0.599
1999-03-01,NA,men,0.7490000000000001
1999-04-01,NA,women,0.599
1999-04-01,NA,men,0.7490000000000001
1999-05-01,NA,women,0.599
1999-05-01,NA,men,0.7490000000000001
1999-06-01,NA,women,0.6
1999-06-01,NA,men,0.748
1999-07-01,NA,women,0.6
1999-07-01,NA,men,0.748
1999-08-01,NA,women,0.6
1999-08-01,NA,men,0.748
1999-09-01,NA,women,0.6
1999-09-01,NA,men,0.748
1999-10-01,NA,women,0.6
1999-10-01,NA,men,0.748
1999-11-01,NA,women,0.6
1999-11-01,NA,men,0.747
1999-12-01,NA,women,0.6
1999-12-01,NA,men,0.747
2000-01-01,NA,women,0.6
2000-01-01,NA,men,0.747
2000-02-01,NA,women,0.6
2000-02-01,NA,men,0.748
2000-03-01,NA,women,0.601
2000-03-01,NA,men,0.748
2000-04-01,NA,women,0.601
2000-04-01,NA,men,0.748
2000-05-01,NA,women,0.601
2000-05-01,NA,men,0.748
2000-06-01,NA,women,0.601
2000-06-01,NA,men,0.748
2000-07-01,NA,women,0.601
2000-07-01,NA,men,0.748
2000-08-01,NA,women,0.6
2000-08-01,NA,men,0.748
2000-09-01,NA,women,0.6
2000-09-01,NA,men,0.748
2000-10-01,NA,women,0.6
2000-10-01,NA,men,0.748
2000-11-01,NA,women,0.6
2000-11-01,NA,men,0.748
2000-12-01,NA,women,0.599
2000-12-01,NA,men,0.748
2001-01-01,NA,women,0.599
2001-01-01,NA,men,0.748
2001-02-01,NA,women,0.6
2001-02-01,NA,men,0.748
2001-03-01,NA,women,0.6
2001-03-01,NA,men,0.747
2001-04-01,NA,women,0.599
2001-04-01,NA,men,0.747
2001-05-01,NA,women,0.599
2001-05-01,NA,men,0.747
2001-06-01,NA,women,0.599
2001-06-01,NA,men,0.746
2001-07-01,NA,women,0.599
2001-07-01,NA,men,0.746
2001-08-01,NA,women,0.598
2001-08-01,NA,men,0.745
2001-09-01,NA,women,0.598
2001-09-01,NA,men,0.745
2001-10-01,NA,women,0.598
2001-10-01,NA,men,0.745
2001-11-01,NA,women,0.598
2001-11-01,NA,men,0.745
2001-12-01,NA,women,0.598
2001-12-01,NA,men,0.7440000000000001
2002-01-01,NA,women,0.597
2002-01-01,NA,men,0.7440000000000001
2002-02-01,NA,women,0.597
2002-02-01,NA,men,0.7440000000000001
2002-03-01,NA,women,0.597
2002-03-01,NA,men,0.743
2002-04-01,NA,women,0.597
2002-04-01,NA,men,0.743
2002-05-01,NA,women,0.597
2002-05-01,NA,men,0.743
2002-06-01,NA,women,0.597
2002-06-01,NA,men,0.743
2002-07-01,NA,women,0.596
2002-07-01,NA,men,0.742
2002-08-01,NA,women,0.596
2002-08-01,NA,men,0.742
2002-09-01,NA,women,0.597
2002-09-01,NA,men,0.742
2002-10-01,NA,women,0.597
2002-10-01,NA,men,0.742
2002-11-01,NA,women,0.596
2002-11-01,NA,men,0.742
2002-12-01,NA,women,0.596
2002-12-01,NA,men,0.741
2003-01-01,NA,women,0.596
2003-01-01,NA,men,0.741
2003-02-01,NA,women,0.596
2003-02-01,NA,men,0.74
2003-03-01,NA,women,0.596
2003-03-01,NA,men,0.74
2003-04-01,NA,women,0.596
2003-04-01,NA,men,0.7390000000000001
2003-05-01,NA,women,0.596
2003-05-01,NA,men,0.738
2003-06-01,NA,women,0.596
2003-06-01,NA,men,0.738
2003-07-01,NA,women,0.596
2003-07-01,NA,men,0.737
2003-08-01,NA,women,0.596
2003-08-01,NA,men,0.737
2003-09-01,NA,women,0.596
2003-09-01,NA,men,0.736
2003-10-01,NA,women,0.596
2003-10-01,NA,men,0.735
2003-11-01,NA,women,0.595
2003-11-01,NA,men,0.735
2003-12-01,NA,women,0.595
2003-12-01,NA,men,0.735
2004-01-01,NA,women,0.594
2004-01-01,NA,men,0.735
2004-02-01,NA,women,0.594
2004-02-01,NA,men,0.735
2004-03-01,NA,women,0.594
2004-03-01,NA,men,0.735
2004-04-01,NA,women,0.593
2004-04-01,NA,men,0.7340000000000001
2004-05-01,NA,women,0.593
2004-05-01,NA,men,0.7340000000000001
2004-06-01,NA,women,0.5920000000000001
2004-06-01,NA,men,0.733
2004-07-01,NA,women,0.5920000000000001
2004-07-01,NA,men,0.7340000000000001
2004-08-01,NA,women,0.5920000000000001
2004-08-01,NA,men,0.7340000000000001
2004-09-01,NA,women,0.5920000000000001
2004-09-01,NA,men,0.7340000000000001
2004-10-01,NA,women,0.5920000000000001
2004-10-01,NA,men,0.7340000000000001
2004-11-01,NA,women,0.5920000000000001
2004-11-01,NA,men,0.733
2004-12-01,NA,women,0.5920000000000001
2004-12-01,NA,men,0.733
2005-01-01,NA,women,0.5920000000000001
2005-01-01,NA,men,0.733
2005-02-01,NA,women,0.5920000000000001
2005-02-01,NA,men,0.733
2005-03-01,NA,women,0.591
2005-03-01,NA,men,0.733
2005-04-01,NA,women,0.591
2005-04-01,NA,men,0.733
2005-05-01,NA,women,0.591
2005-05-01,NA,men,0.733
2005-06-01,NA,women,0.591
2005-06-01,NA,men,0.733
2005-07-01,NA,women,0.591
2005-07-01,NA,men,0.733
2005-08-01,NA,women,0.591
2005-08-01,NA,men,0.733
2005-09-01,NA,women,0.5920000000000001
2005-09-01,NA,men,0.733
2005-10-01,NA,women,0.5920000000000001
2005-10-01,NA,men,0.733
2005-11-01,NA,women,0.5920000000000001
2005-11-01,NA,men,0.733
2005-12-01,NA,women,0.593
2005-12-01,NA,men,0.733
2006-01-01,NA,women,0.593
2006-01-01,NA,men,0.733
2006-02-01,NA,women,0.593
2006-02-01,NA,men,0.733
2006-03-01,NA,women,0.593
2006-03-01,NA,men,0.7340000000000001
2006-04-01,NA,women,0.593
2006-04-01,NA,men,0.7340000000000001
2006-05-01,NA,women,0.593
2006-05-01,NA,men,0.7340000000000001
2006-06-01,NA,women,0.593
2006-06-01,NA,men,0.7340000000000001
2006-07-01,NA,women,0.593
2006-07-01,NA,men,0.7340000000000001
2006-08-01,NA,women,0.593
2006-08-01,NA,men,0.7340000000000001
2006-09-01,NA,women,0.593
2006-09-01,NA,men,0.7340000000000001
2006-10-01,NA,women,0.593
2006-10-01,NA,men,0.7340000000000001
2006-11-01,NA,women,0.593
2006-11-01,NA,men,0.7340000000000001
2006-12-01,NA,women,0.594
2006-12-01,NA,men,0.735
2007-01-01,NA,women,0.594
2007-01-01,NA,men,0.735
2007-02-01,NA,women,0.594
2007-02-01,NA,men,0.735
2007-03-01,NA,women,0.594
2007-03-01,NA,men,0.735
2007-04-01,NA,women,0.594
2007-04-01,NA,men,0.735
2007-05-01,NA,women,0.594
2007-05-01,NA,men,0.735
2007-06-01,NA,women,0.594
2007-06-01,NA,men,0.7340000000000001
2007-07-01,NA,women,0.594
2007-07-01,NA,men,0.7340000000000001
2007-08-01,NA,women,0.593
2007-08-01,NA,men,0.7340000000000001
2007-09-01,NA,women,0.594
2007-09-01,NA,men,0.7340000000000001
2007-10-01,NA,women,0.593
2007-10-01,NA,men,0.733
2007-11-01,NA,women,0.593
2007-11-01,NA,men,0.733
2007-12-01,NA,women,0.593
2007-12-01,NA,men,0.732
2008-01-01,NA,women,0.593
2008-01-01,NA,men,0.732
2008-02-01,NA,women,0.593
2008-02-01,NA,men,0.732
2008-03-01,NA,women,0.593
2008-03-01,NA,men,0.731
2008-04-01,NA,women,0.593
2008-04-01,NA,men,0.731
2008-05-01,NA,women,0.594
2008-05-01,NA,men,0.731
2008-06-01,NA,women,0.594
2008-06-01,NA,men,0.73
2008-07-01,NA,women,0.594
2008-07-01,NA,men,0.731
2008-08-01,NA,women,0.595
2008-08-01,NA,men,0.731
2008-09-01,NA,women,0.594
2008-09-01,NA,men,0.731
2008-10-01,NA,women,0.595
2008-10-01,NA,men,0.73
2008-11-01,NA,women,0.595
2008-11-01,NA,men,0.73
2008-12-01,NA,women,0.595
2008-12-01,NA,men,0.73
2009-01-01,NA,women,0.595
2009-01-01,NA,men,0.7290000000000001
2009-02-01,NA,women,0.595
2009-02-01,NA,men,0.7290000000000001
2009-03-01,NA,women,0.595
2009-03-01,NA,men,0.728
2009-04-01,NA,women,0.595
2009-04-01,NA,men,0.728
2009-05-01,NA,women,0.595
2009-05-01,NA,men,0.727
2009-06-01,NA,women,0.595
2009-06-01,NA,men,0.726
2009-07-01,NA,women,0.595
2009-07-01,NA,men,0.725
2009-08-01,NA,women,0.594
2009-08-01,NA,men,0.7240000000000001
2009-09-01,NA,women,0.594
2009-09-01,NA,men,0.723
2009-10-01,NA,women,0.593
2009-10-01,NA,men,0.722
2009-11-01,NA,women,0.593
2009-11-01,NA,men,0.721
2009-12-01,NA,women,0.5920000000000001
2009-12-01,NA,men,0.72
2010-01-01,NA,women,0.5920000000000001
2010-01-01,NA,men,0.7190000000000001
2010-02-01,NA,women,0.591
2010-02-01,NA,men,0.718
2010-03-01,NA,women,0.59
2010-03-01,NA,men,0.7170000000000001
2010-04-01,NA,women,0.59
2010-04-01,NA,men,0.7170000000000001
2010-05-01,NA,women,0.59
2010-05-01,NA,men,0.716
2010-06-01,NA,women,0.589
2010-06-01,NA,men,0.715
2010-07-01,NA,women,0.588
2010-07-01,NA,men,0.7140000000000001
2010-08-01,NA,women,0.5870000000000001
2010-08-01,NA,men,0.7140000000000001
2010-09-01,NA,women,0.5870000000000001
2010-09-01,NA,men,0.713
2010-10-01,NA,women,0.5870000000000001
2010-10-01,NA,men,0.713
2010-11-01,NA,women,0.586
2010-11-01,NA,men,0.7120000000000001
2010-12-01,NA,women,0.586
2010-12-01,NA,men,0.7120000000000001
2011-01-01,NA,women,0.586
2011-01-01,NA,men,0.711
2011-02-01,NA,women,0.585
2011-02-01,NA,men,0.71
2011-03-01,NA,women,0.585
2011-03-01,NA,men,0.71
2011-04-01,NA,women,0.584
2011-04-01,NA,men,0.708
2011-05-01,NA,women,0.584
2011-05-01,NA,men,0.708
2011-06-01,NA,women,0.583
2011-06-01,NA,men,0.7070000000000001
2011-07-01,NA,women,0.583
2011-07-01,NA,men,0.7070000000000001
2011-08-01,NA,women,0.5820000000000001
2011-08-01,NA,men,0.706
2011-09-01,NA,women,0.5820000000000001
2011-09-01,NA,men,0.705
2011-10-01,NA,women,0.5820000000000001
2011-10-01,NA,men,0.705
2011-11-01,NA,women,0.581
2011-11-01,NA,men,0.705
2011-12-01,NA,women,0.581
2011-12-01,NA,men,0.705
2012-01-01,NA,women,0.581
2012-01-01,NA,men,0.7040000000000001
2012-02-01,NA,women,0.58
2012-02-01,NA,men,0.7040000000000001
2012-03-01,NA,women,0.58
2012-03-01,NA,men,0.7040000000000001
2012-04-01,NA,women,0.579
2012-04-01,NA,men,0.7040000000000001
2012-05-01,NA,women,0.579
2012-05-01,NA,men,0.703
2012-06-01,NA,women,0.579
2012-06-01,NA,men,0.703
2012-07-01,NA,women,0.579
2012-07-01,NA,men,0.703
2012-08-01,NA,women,0.578
2012-08-01,NA,men,0.703
2012-09-01,NA,women,0.578
2012-09-01,NA,men,0.7020000000000001
2012-10-01,NA,women,0.5770000000000001
2012-10-01,NA,men,0.7020000000000001
2012-11-01,NA,women,0.5770000000000001
2012-11-01,NA,men,0.7020000000000001
2012-12-01,NA,women,0.5770000000000001
2012-12-01,NA,men,0.7020000000000001
2013-01-01,NA,women,0.5770000000000001
2013-01-01,NA,men,0.7020000000000001
2013-02-01,NA,women,0.5760000000000001
2013-02-01,NA,men,0.701
